32174,32174,32174,32174,32174,32174,32174,32173,0,0,32204,32204,32204,32204
32174,32174,32174,32174,32174,32174,32174,32173,0,0,32204,32204,32204,32204
32174,32174,32174,32174,32174,32174,32174,32173,0,0,32204,32204,32204,32204
32174,32174,32174,32174,32174,32174,32174,32173,0,0,32204,32204,32204,32204
32174,32174,32174,32174,32174,32174,32174,32173,0,0,32204,32204,32204,32204
32174,32174,32174,32174,32174,32174,32174,32173,0,0,32204,32204,32204,32204
32174,32174,32174,32174,32174,32174,32174,32173,32173,0,0,32204,32204,32204
32174,32174,32174,32174,32174,32174,32174,32173,32173,0,0,0,0,0
32174,32174,32174,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
32215,32215,32215,32215,32215,32215,0,32205,32205,32205,32205,32205,32205,32205
32215,32215,32215,32215,32215,32215,0,32205,32205,32205,32205,32205,32205,32205
32215,32215,32215,32215,32215,32215,0,32205,32205,32205,32205,32205,32205,32205
32215,32215,32215,32215,32215,32215,0,32205,32205,32205,32205,32205,32205,32205
