32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142
32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142
32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142
32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142
32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142
32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142
32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142
32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142
32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142
32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142
32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142,32142
